
nb_iter;move1_lost;move2_lost;move3_lost;R_SUCCESS;R_MOVE;R_FAILED
0;0;0;0;10;0;-10
0;0;0;0;10;0;-10
0;3384;1771;1756;10;0;-10
0;4;2;1;10;0;-10
0;5;0;3;10;0;-10
0;6;1;1;10;0;-10

nb_iter;move1_lost;move2_lost;move3_lost;R_SUCCESS * nb_pilones;R_MOVE;R_FAILED
17000;3106;1682;1886;10;0;-100
0;2882;1827;1725;10;0;-100
0;5830;3639;3321;10;0;-100
0;63019;35764;35389;10;0;-100
17000;64359;35745;35331;10;0;-100
1200;15216;9011;8889;10;0;-100
12000;298;155;173;10;0;-100
120000;363;213;186;10;0;-100

nb_iter_learn;nb_iter_play;move1_lost;move2_lost;move3_lost;R_SUCCESS * nb_pilones;R_MOVE;R_FAILED
151100.0;500;1228;977;824;10;0;-100
152200.0;500;1298;975;756;10;0;-100
153300.0;500;1351;943;751;10;0;-100
154400.0;500;1373;911;776;10;0;-100
155500.0;500;1336;921;829;10;0;-100
156600.0;500;1342;1022;703;10;0;-100
157700.0;500;1402;989;801;10;0;-100
158800.0;500;1532;1011;825;10;0;-100
159900.0;500;1534;967;856;10;0;-100
161000.0;500;1628;1030;862;10;0;-100
162100.0;500;1568;938;839;10;0;-100
163200.0;500;1659;1016;854;10;0;-100
164300.0;500;1653;926;913;10;0;-100
165400.0;500;1709;977;900;10;0;-100
166500.0;500;1375;972;795;10;0;-100
167600.0;500;1373;958;861;10;0;-100
168700.0;500;1478;1021;891;10;0;-100
169800.0;500;1387;966;836;10;0;-100
170900.0;500;1470;880;830;10;0;-100
172000.0;500;1664;957;824;10;0;-100
173100.0;500;1731;924;817;10;0;-100
174200.0;500;1749;956;925;10;0;-100
175300.0;500;1692;934;851;10;0;-100
176400.0;500;1694;1010;957;10;0;-100
177500.0;500;1129;950;767;10;0;-100
178600.0;500;1243;884;789;10;0;-100
179700.0;500;1339;1001;743;10;0;-100
180800.0;500;1383;982;883;10;0;-100
181900.0;500;1497;1015;787;10;0;-100
183000.0;500;1603;1010;885;10;0;-100
184100.0;500;1655;985;850;10;0;-100
185200.0;500;1667;916;902;10;0;-100
186300.0;500;1665;865;944;10;0;-100
187400.0;500;1674;931;921;10;0;-100
188500.0;500;1729;1017;1008;10;0;-100
189600.0;500;1740;1008;953;10;0;-100
190700.0;500;1744;975;880;10;0;-100
191800.0;500;1803;1009;912;10;0;-100
192900.0;500;1767;999;892;10;0;-100
194000.0;500;1697;988;824;10;0;-100
195100.0;500;1657;954;846;10;0;-100
196200.0;500;1743;964;870;10;0;-100
197300.0;500;1669;984;902;10;0;-100
198400.0;500;1752;924;875;10;0;-100
199500.0;500;1748;971;919;10;0;-100
200600.0;500;1698;1017;902;10;0;-100
201700.0;500;1769;932;908;10;0;-100
202800.0;500;1722;992;905;10;0;-100
203900.0;500;1807;992;923;10;0;-100
205000.0;500;1831;1057;795;10;0;-100
206100.0;500;1735;960;865;10;0;-100
207200.0;500;1674;966;860;10;0;-100
208300.0;500;1671;1012;866;10;0;-100
209400.0;500;1735;1062;827;10;0;-100
210500.0;500;277;208;165;10;0;-100
211600.0;500;258;209;136;10;0;-100
212700.0;500;229;204;141;10;0;-100
213800.0;500;325;220;120;10;0;-100
214900.0;500;280;174;169;10;0;-100
216000.0;500;301;207;176;10;0;-100
217100.0;500;312;167;197;10;0;-100
218200.0;500;338;180;179;10;0;-100
219300.0;500;362;210;164;10;0;-100
220400.0;500;338;169;219;10;0;-100
221500.0;500;354;191;205;10;0;-100
222600.0;500;309;165;159;10;0;-100
223700.0;500;342;195;194;10;0;-100
224800.0;500;335;184;192;10;0;-100
225900.0;500;344;230;187;10;0;-100
227000.0;500;318;193;168;10;0;-100
228100.0;500;325;181;191;10;0;-100
229200.0;500;347;200;169;10;0;-100
230300.0;500;332;188;185;10;0;-100
231400.0;500;355;196;173;10;0;-100
232500.0;500;340;181;172;10;0;-100
233600.0;500;351;200;165;10;0;-100
234700.0;500;318;182;166;10;0;-100
235800.0;500;322;177;156;10;0;-100
236900.0;500;334;195;190;10;0;-100
238000.0;500;353;232;187;10;0;-100
239100.0;500;368;217;173;10;0;-100
240200.0;500;350;185;196;10;0;-100
241300.0;500;330;177;190;10;0;-100
242400.0;500;315;176;186;10;0;-100
243500.0;500;241;190;157;10;0;-100
244600.0;500;232;203;137;10;0;-100
245700.0;500;264;194;132;10;0;-100
246800.0;500;308;205;136;10;0;-100
247900.0;500;299;203;154;10;0;-100
249000.0;500;297;190;135;10;0;-100
250100.0;500;287;210;167;10;0;-100
251200.0;500;312;210;147;10;0;-100
252300.0;500;333;212;164;10;0;-100
253400.0;500;327;183;166;10;0;-100
254500.0;500;256;178;153;10;0;-100
255600.0;500;257;176;171;10;0;-100
256700.0;500;265;202;138;10;0;-100
257800.0;500;273;204;170;10;0;-100
258900.0;500;277;184;165;10;0;-100
260000.0;500;307;177;178;10;0;-100
261100.0;500;241;182;144;10;0;-100
262200.0;500;315;199;138;10;0;-100
263300.0;500;311;185;172;10;0;-100
264400.0;500;340;176;169;10;0;-100
265500.0;500;222;171;140;10;0;-100
266600.0;500;239;190;161;10;0;-100
267700.0;500;241;200;159;10;0;-100
268800.0;500;324;195;158;10;0;-100
269900.0;500;319;170;148;10;0;-100
271000.0;500;257;191;135;10;0;-100
272100.0;500;331;211;144;10;0;-100
273200.0;500;266;186;187;10;0;-100
274300.0;500;369;211;160;10;0;-100
275400.0;500;330;185;204;10;0;-100
276500.0;500;353;221;182;10;0;-100
277600.0;500;315;167;192;10;0;-100
278700.0;500;324;163;146;10;0;-100
279800.0;500;319;180;160;10;0;-100
280900.0;500;354;191;169;10;0;-100
282000.0;500;352;168;177;10;0;-100
283100.0;500;319;166;162;10;0;-100
284200.0;500;368;224;190;10;0;-100
285300.0;500;331;192;156;10;0;-100
286400.0;500;380;183;168;10;0;-100
287500.0;500;368;194;175;10;0;-100
288600.0;500;323;214;184;10;0;-100
289700.0;500;351;177;164;10;0;-100
290800.0;500;350;204;189;10;0;-100
291900.0;500;310;206;184;10;0;-100
293000.0;500;360;197;186;10;0;-100
294100.0;500;343;185;178;10;0;-100
295200.0;500;358;197;224;10;0;-100
296300.0;500;328;178;165;10;0;-100
297400.0;500;335;184;178;10;0;-100
298400.0;500;275;158;129;10;0;-100
299400.0;500;237;162;166;10;0;-100
300400.0;500;252;174;155;10;0;-100
301400.0;500;264;213;197;10;0;-100
302400.0;500;246;176;143;10;0;-100
303400.0;500;268;165;187;10;0;-100
304400.0;500;280;214;132;10;0;-100
305400.0;500;241;175;160;10;0;-100
306400.0;500;274;218;190;10;0;-100
307400.0;500;282;225;145;10;0;-100
308400.0;500;317;204;150;10;0;-100
309400.0;500;276;198;169;10;0;-100
310400.0;500;279;198;147;10;0;-100
311400.0;500;289;205;139;10;0;-100
312400.0;500;309;194;153;10;0;-100
313400.0;500;323;189;152;10;0;-100
314400.0;500;304;193;153;10;0;-100
315400.0;500;315;197;159;10;0;-100
316400.0;500;320;217;180;10;0;-100
317400.0;500;277;177;132;10;0;-100
318400.0;500;309;214;149;10;0;-100
319400.0;500;333;194;154;10;0;-100
320400.0;500;331;188;143;10;0;-100
321400.0;500;361;218;154;10;0;-100
322400.0;500;343;177;165;10;0;-100
323400.0;500;313;201;161;10;0;-100
324400.0;500;376;217;158;10;0;-100
325400.0;500;333;172;167;10;0;-100
326400.0;500;298;190;158;10;0;-100
327400.0;500;360;196;139;10;0;-100
